market_name,cftc_contract_market_code,report_date,report_date_weekday,release_date,release_at_et,available_at_utc,availability_basis,availability_source_id,open_interest_contracts,managed_money_long_contracts,managed_money_short_contracts,managed_money_spread_contracts,managed_money_net_contracts,managed_money_net_pct_open_interest,contract_unit_original,source_id,source_upstream_sha256,source_public_sha256,source_retrieved_at_utc
COCOA - ICE FUTURES U.S.,073732,2024-01-02,Tuesday,2024-01-05,2024-01-05T15:30:00-05:00,2024-01-05T20:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,313986,105199,31808,64498,73391,23.3740,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-01-09,Tuesday,2024-01-12,2024-01-12T15:30:00-05:00,2024-01-12T20:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,318120,101617,31356,63614,70261,22.0863,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-01-16,Tuesday,2024-01-19,2024-01-19T15:30:00-05:00,2024-01-19T20:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,325589,108064,33399,65081,74665,22.9323,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-01-23,Tuesday,2024-01-26,2024-01-26T15:30:00-05:00,2024-01-26T20:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,333669,117258,34686,62309,82572,24.7467,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-01-30,Tuesday,2024-02-02,2024-02-02T15:30:00-05:00,2024-02-02T20:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,327215,110326,33095,62037,77231,23.6025,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-02-06,Tuesday,2024-02-09,2024-02-09T15:30:00-05:00,2024-02-09T20:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,317683,101988,32469,60452,69519,21.8831,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-02-13,Tuesday,2024-02-16,2024-02-16T15:30:00-05:00,2024-02-16T20:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,271605,82618,26401,48854,56217,20.6981,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-02-20,Tuesday,2024-02-23,2024-02-23T15:30:00-05:00,2024-02-23T20:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,250109,78033,25678,44218,52355,20.9329,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-02-27,Tuesday,2024-03-01,2024-03-01T15:30:00-05:00,2024-03-01T20:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,220865,68877,23765,37182,45112,20.4251,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-03-05,Tuesday,2024-03-08,2024-03-08T15:30:00-05:00,2024-03-08T20:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,207303,65774,22730,35465,43044,20.7638,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-03-12,Tuesday,2024-03-15,2024-03-15T15:30:00-04:00,2024-03-15T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,210691,65262,23948,36975,41314,19.6088,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-03-19,Tuesday,2024-03-22,2024-03-22T15:30:00-04:00,2024-03-22T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,207168,56302,22145,36509,34157,16.4876,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-03-26,Tuesday,2024-03-29,2024-03-29T15:30:00-04:00,2024-03-29T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,201309,51445,20139,31968,31306,15.5512,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-04-02,Tuesday,2024-04-05,2024-04-05T15:30:00-04:00,2024-04-05T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,184072,43014,17506,29541,25508,13.8576,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-04-09,Tuesday,2024-04-12,2024-04-12T15:30:00-04:00,2024-04-12T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,165569,41483,16088,26911,25395,15.3380,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-04-16,Tuesday,2024-04-19,2024-04-19T15:30:00-04:00,2024-04-19T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,159325,36584,16410,28586,20174,12.6622,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-04-23,Tuesday,2024-04-26,2024-04-26T15:30:00-04:00,2024-04-26T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,152895,34999,17487,28543,17512,11.4536,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-04-30,Tuesday,2024-05-03,2024-05-03T15:30:00-04:00,2024-05-03T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,152039,34542,14347,30354,20195,13.2828,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-05-07,Tuesday,2024-05-10,2024-05-10T15:30:00-04:00,2024-05-10T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,147634,33217,11713,27593,21504,14.5658,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-05-14,Tuesday,2024-05-17,2024-05-17T15:30:00-04:00,2024-05-17T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,146340,33226,11351,25859,21875,14.9481,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-05-21,Tuesday,2024-05-24,2024-05-24T15:30:00-04:00,2024-05-24T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,147365,33174,10639,24116,22535,15.2920,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-05-28,Tuesday,2024-05-31,2024-05-31T15:30:00-04:00,2024-05-31T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,152919,35146,9713,24402,25433,16.6317,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-06-04,Tuesday,2024-06-07,2024-06-07T15:30:00-04:00,2024-06-07T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,155918,36454,8817,25159,27637,17.7253,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-06-11,Tuesday,2024-06-14,2024-06-14T15:30:00-04:00,2024-06-14T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,141332,34801,7520,21927,27281,19.3028,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-06-18,Tuesday,2024-06-21,2024-06-21T15:30:00-04:00,2024-06-21T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,137684,36045,9511,21423,26534,19.2717,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-06-25,Tuesday,2024-06-28,2024-06-28T15:30:00-04:00,2024-06-28T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,134640,32576,9477,21304,23099,17.1561,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-07-02,Tuesday,2024-07-05,2024-07-05T15:30:00-04:00,2024-07-05T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,135205,31190,9151,23428,22039,16.3004,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-07-09,Tuesday,2024-07-12,2024-07-12T15:30:00-04:00,2024-07-12T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,138433,32873,9933,24578,22940,16.5712,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-07-16,Tuesday,2024-07-19,2024-07-19T15:30:00-04:00,2024-07-19T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,137803,35307,11236,23411,24071,17.4677,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-07-23,Tuesday,2024-07-26,2024-07-26T15:30:00-04:00,2024-07-26T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,139449,37199,11224,23055,25975,18.6269,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-07-30,Tuesday,2024-08-02,2024-08-02T15:30:00-04:00,2024-08-02T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,140283,37704,11977,23497,25727,18.3394,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-08-06,Tuesday,2024-08-09,2024-08-09T15:30:00-04:00,2024-08-09T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,137261,40192,12418,18897,27774,20.2344,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-08-13,Tuesday,2024-08-16,2024-08-16T15:30:00-04:00,2024-08-16T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,134930,42312,12011,19535,30301,22.4568,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-08-20,Tuesday,2024-08-23,2024-08-23T15:30:00-04:00,2024-08-23T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,133444,44134,12698,20196,31436,23.5574,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-08-27,Tuesday,2024-08-30,2024-08-30T15:30:00-04:00,2024-08-30T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,138677,45986,12719,20169,33267,23.9888,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-09-03,Tuesday,2024-09-06,2024-09-06T15:30:00-04:00,2024-09-06T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,138428,45127,13102,20447,32025,23.1348,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-09-10,Tuesday,2024-09-13,2024-09-13T15:30:00-04:00,2024-09-13T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,138537,42625,10916,20572,31709,22.8885,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-09-17,Tuesday,2024-09-20,2024-09-20T15:30:00-04:00,2024-09-20T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,143433,44865,9510,20665,35355,24.6491,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
COCOA - ICE FUTURES U.S.,073732,2024-09-24,Tuesday,2024-09-27,2024-09-27T15:30:00-04:00,2024-09-27T19:30:00Z,cftc_ordinary_rule_estimate_not_holiday_verified,cftc_cot_methodology_page_2026_08,147665,47000,8996,21235,38004,25.7366,(CONTRACTS OF 10 METRIC TONS),cftc_disagg_futures_only_2024,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,5e40f60993120d26c116ab347beaf93702f5da60c7bdccbbee43cb3d0a91d01a,2026-08-20T11:22:31Z
