original_period_label,period,period_start,period_end,price_usd_per_kg,original_series_name,original_unit,series_description,source_vintage_updated_date,source_vintage_available_at_utc,availability_precision,source_id,source_upstream_sha256,source_public_sha256
2026M01,2026-01,2026-01-01,2026-01-31,4.97,Cocoa,($/kg),Cocoa; underlying series attributed to International Cocoa Organization (ICCO),2026-08-04,,date_only_exact_time_not_asserted,world_bank_pink_sheet_monthly_august_2026,7902a77505ebdc5d202ce65f666c2ee1b04b626f042d7738ed3e6f7d112c8433,1ebd84e402776be302cd86fefb467e3baf4bcb07fd3c4a2f9c0d0d17f0508363
2026M02,2026-02,2026-02-01,2026-02-28,3.59,Cocoa,($/kg),Cocoa; underlying series attributed to International Cocoa Organization (ICCO),2026-08-04,,date_only_exact_time_not_asserted,world_bank_pink_sheet_monthly_august_2026,7902a77505ebdc5d202ce65f666c2ee1b04b626f042d7738ed3e6f7d112c8433,1ebd84e402776be302cd86fefb467e3baf4bcb07fd3c4a2f9c0d0d17f0508363
2026M03,2026-03,2026-03-01,2026-03-31,3.24,Cocoa,($/kg),Cocoa; underlying series attributed to International Cocoa Organization (ICCO),2026-08-04,,date_only_exact_time_not_asserted,world_bank_pink_sheet_monthly_august_2026,7902a77505ebdc5d202ce65f666c2ee1b04b626f042d7738ed3e6f7d112c8433,1ebd84e402776be302cd86fefb467e3baf4bcb07fd3c4a2f9c0d0d17f0508363
2026M07,2026-07,2026-07-01,2026-07-31,5.61,Cocoa,($/kg),Cocoa; underlying series attributed to International Cocoa Organization (ICCO),2026-08-04,,date_only_exact_time_not_asserted,world_bank_pink_sheet_monthly_august_2026,7902a77505ebdc5d202ce65f666c2ee1b04b626f042d7738ed3e6f7d112c8433,1ebd84e402776be302cd86fefb467e3baf4bcb07fd3c4a2f9c0d0d17f0508363
