release_id,region,association,period,period_start,period_end,available_at_utc,availability_basis,availability_precision,grind_tonnes,prior_year_tonnes,yoy_pct_reported,reporting_plants,comparability_flag,revision_status,source_url,source_sha256,retrieved_at_utc,extraction_method,notes
eca_2026_q1,Europe,European Cocoa Association,2026-Q1,2026-01-01,2026-03-31,2026-04-16T23:59:59Z,source_date_conservative_end_of_utc_day,date,325895,353522,-7.8,19,current_release_reports_19_participants,current_release,https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q1-2026-2.pdf,5a0d4af0480e347cd11c6ad2a878076b5fc798577c76bb27fedecad94c0ab8d8,2026-08-20T12:56:56Z,manual_factual_transcription_from_official_pdf,Processed bean usage in metric tonnes; ECA reports index 92.2 versus Q1 2025
eca_2026_q2,Europe,European Cocoa Association,2026-Q2,2026-04-01,2026-06-30,2026-07-16T23:59:59Z,source_date_conservative_end_of_utc_day,date,316366,331762,-4.6,19,current_release_reports_19_participants,current_release,https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2026.pdf,e1ec1e8ab37c9bd1f28c13bb69a7082449f791317315aa797a5538a8de038266,2026-08-20T12:56:56Z,manual_factual_transcription_from_official_pdf,Processed bean usage in metric tonnes; ECA reports index 95.4 versus Q2 2025
caa_2026_q1,Asia,Cocoa Association of Asia,2026-Q1,2026-01-01,2026-03-31,2026-04-16T08:00:00Z,official_page_says_after_1600_singapore_time,time_to_hour,223503,212459,5.20,,membership_basis_changed_during_2025,current_release,https://www.cocoaasia.org/_files/ugd/fba979_bc3cac23d92b4b58b63509837eb80292.pdf,3da3a69daf052c361b0ca5723de3973951243ce7a4dd26a14759ea32a206834a,2026-08-20T12:56:56Z,manual_factual_transcription_from_official_pdf,CAA added three reporters in Q3 2025 and later excluded a non-reporting member back to Q1 2024; use current release basis only
caa_2026_q2,Asia,Cocoa Association of Asia,2026-Q2,2026-04-01,2026-06-30,2026-07-16T08:00:00Z,official_page_says_after_1600_singapore_time,time_to_hour,224646,179618,25.07,,membership_basis_changed_during_2025,current_release,https://www.cocoaasia.org/_files/ugd/fba979_7e8a5c99b5474b05b1b03cbd363163c8.pdf,6dba725646e21b22fd8975ae1799e3c6a2933da3eb6eb2561ca1fd9fc0d5cda2,2026-08-20T12:56:56Z,manual_factual_transcription_from_official_pdf,CAA source compares on its current reporting basis; do not splice to earlier unrevised vintages
nca_2026_q1,North America,National Confectioners Association,2026-Q1,2026-01-01,2026-03-31,2026-04-16T23:59:59Z,source_date_conservative_end_of_utc_day,date,106087,110278,-3.80,15,new_reporting_companies_added_q3_2025,current_release,https://candyusa.com/wordpress/wp-content/uploads/2026/04/Q1-2026-Cocoa-Grinds.pdf?ver=20260416,78cc318dac0d45ebb5aa3a8741f9ecbcc56bfd060fd36b8cf8129e68b3d0c0c6,2026-08-20T12:57:28Z,manual_factual_transcription_from_official_pdf,NCA says prior-year comparative data are unavailable for the new reporting companies and plants
nca_2026_q2,North America,National Confectioners Association,2026-Q2,2026-04-01,2026-06-30,2026-07-16T23:59:59Z,source_date_conservative_end_of_utc_day,date,109659,101865,7.65,14,new_reporting_companies_added_q3_2025,current_release,https://candyusa.com/wordpress/wp-content/uploads/2026/07/Q2-2026-Cocoa-Grinds.pdf,d4782a91612da4edb3506a00cb8a05340515843210f371540a46ab7785f16dcd,2026-08-20T12:57:15Z,manual_factual_transcription_from_official_pdf,NCA says prior-year comparative data are unavailable for the new reporting companies and plants
