original_period_label,period,price_usd_per_kg,original_series_name,original_unit,source_vintage_updated_date,availability_precision,provider,underlying_series_attribution,source_url
2026M01,2026-01,4.97,Cocoa,($/kg),2026-08-04,date_only_exact_time_not_asserted,World Bank Prospects Group,International Cocoa Organization (ICCO),https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2026M02,2026-02,3.59,Cocoa,($/kg),2026-08-04,date_only_exact_time_not_asserted,World Bank Prospects Group,International Cocoa Organization (ICCO),https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2026M03,2026-03,3.24,Cocoa,($/kg),2026-08-04,date_only_exact_time_not_asserted,World Bank Prospects Group,International Cocoa Organization (ICCO),https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2026M07,2026-07,5.61,Cocoa,($/kg),2026-08-04,date_only_exact_time_not_asserted,World Bank Prospects Group,International Cocoa Organization (ICCO),https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
