release_id,crop_year,data_status,effective_period_end,available_at_utc,availability_basis,publication_date,production_kt,grindings_kt,surplus_deficit_kt,ending_stocks_kt,stocks_to_grindings_pct,source_url,source_sha256,retrieved_at_utc,extraction_method,notes
icco_qbcs_2025_05,2023/24,reported,2024-09-30,2025-05-30T23:59:59Z,source_date_conservative_end_of_utc_day,2025-05-30,4368,4818,-494,1270,26.4,https://www.icco.org/may-2025-quarterly-bulletin-of-cocoa-statistics/,2ce4a501fe400ada8a3489e2fb4ef40ce51d0c532b1c237a6a2db007c01693bb,2026-08-20T12:56:53Z,manual_factual_transcription_from_official_html_table,ICCO says figures are subject to later revision
icco_qbcs_2025_08,2023/24,reported,2024-09-30,2025-08-29T23:59:59Z,source_date_conservative_end_of_utc_day,2025-08-29,4368,4818,-494,1270,26.4,https://www.icco.org/august-2025-quarterly-bulletin-of-cocoa-statistics/,94de96d657d6b5deedc628655209e296ca18e8d81d949a3588c36a3109d20f33,2026-08-20T12:56:54Z,manual_factual_transcription_from_official_html_table,2023/24 figures unchanged from May release
icco_qbcs_2025_08,2024/25,withheld,2025-09-30,2025-08-29T23:59:59Z,source_date_conservative_end_of_utc_day,2025-08-29,,,,,,https://www.icco.org/august-2025-quarterly-bulletin-of-cocoa-statistics/,94de96d657d6b5deedc628655209e296ca18e8d81d949a3588c36a3109d20f33,2026-08-20T12:56:54Z,manual_factual_transcription_from_official_html_table,ICCO temporarily withheld 2024/25 production and grinding estimates during a methodology review
icco_qbcs_2025_11,2023/24,reported,2024-09-30,2025-11-28T23:59:59Z,source_date_conservative_end_of_utc_day,2025-11-28,4365,4810,-489,1275,26.5,https://www.icco.org/november-2025-quarterly-bulletin-of-cocoa-statistics/,532f3e7e99215fb9e2dfa47f1665587f516384d449547fc104e427552aca4df5,2026-08-20T12:56:54Z,manual_factual_transcription_from_official_html_table,Revised 2023/24 estimate
icco_qbcs_2025_11,2024/25,reported,2025-09-30,2025-11-28T23:59:59Z,source_date_conservative_end_of_utc_day,2025-11-28,4698,4602,49,1324,28.8,https://www.icco.org/november-2025-quarterly-bulletin-of-cocoa-statistics/,532f3e7e99215fb9e2dfa47f1665587f516384d449547fc104e427552aca4df5,2026-08-20T12:56:54Z,manual_factual_transcription_from_official_html_table,First retained post-review 2024/25 estimate
icco_qbcs_2026_02,2023/24,reported,2024-09-30,2026-03-02T23:59:59Z,webpage_post_date_conservative_end_of_utc_day,2026-03-02,4362,4810,-492,1272,26.4,https://www.icco.org/february-2026-quarterly-bulletin-of-cocoa-statistics/,2ccd853f6fd6b310d24fc4fc44b1ddb063f54c49412ded183b2fd2998500cf09,2026-08-20T12:56:55Z,manual_factual_transcription_from_official_html_table,Release text is dated 27 February but the official webpage was posted 2 March
icco_qbcs_2026_02,2024/25,reported,2025-09-30,2026-03-02T23:59:59Z,webpage_post_date_conservative_end_of_utc_day,2026-03-02,4728,4606,75,1347,29.2,https://www.icco.org/february-2026-quarterly-bulletin-of-cocoa-statistics/,2ccd853f6fd6b310d24fc4fc44b1ddb063f54c49412ded183b2fd2998500cf09,2026-08-20T12:56:55Z,manual_factual_transcription_from_official_html_table,Revised 2024/25 estimate
icco_qbcs_2026_05,2023/24,reported,2024-09-30,2026-05-29T23:59:59Z,source_date_conservative_end_of_utc_day,2026-05-29,4362,4810,-492,1272,26.4,https://www.icco.org/may-2026-quarterly-bulletin-of-cocoa-statistics/,c36dd40c58cf6da042eedf1ab4f6a5837c87a95f2169310c2dc229b7c4488233,2026-08-20T12:56:55Z,manual_factual_transcription_from_official_html_table,2023/24 estimate retained in current release
icco_qbcs_2026_05,2024/25,reported,2025-09-30,2026-05-29T23:59:59Z,source_date_conservative_end_of_utc_day,2026-05-29,4723,4628,48,1320,28.5,https://www.icco.org/may-2026-quarterly-bulletin-of-cocoa-statistics/,c36dd40c58cf6da042eedf1ab4f6a5837c87a95f2169310c2dc229b7c4488233,2026-08-20T12:56:55Z,manual_factual_transcription_from_official_html_table,Latest retained 2024/25 estimate; published balance uses net crop after loss in weight
